FileName,hasattr,getattr,callable,globals,locals,isinstance,issubclass,type,vars,super,setattr, delattr,del,eval,exec,execfile,__import__,reload
E:\Source code on python\Science & Engineering\numpy\numpy-1.4.1\numpy\distutils\ccompiler.py,4,4,0,0,0,2,0,0,1,0,2,0,0,0,0,0,2,0
E:\Source code on python\Science & Engineering\numpy\numpy-1.4.1\numpy\ma\setupscons.py,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E:\Source code on python\Science & Engineering\numpy\numpy-1.4.1\numpy\oldnumeric\functions.py,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E:\Source code on python\Science & Engineering\numpy\numpy-1.4.1\numpy\lib\tests\test_polynomial.py,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E:\Source code on python\Science & Engineering\numpy\numpy-1.4.1\numpy\lib\tests\test_format.py,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
E:\Source code on python\Science & Engineering\numpy\numpy-1.4.1\numpy\numarray\setupscons.py,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E:\Source code on python\Science & Engineering\numpy\numpy-1.4.1\numpy\linalg\__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E:\Source code on python\Science & Engineering\numpy\numpy-1.4.1\numpy\lib\info.py,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E:\Source code on python\Science & Engineering\numpy\numpy-1.4.1\numpy\lib\__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E:\Source code on python\Science & Engineering\numpy\numpy-1.4.1\numpy\fft\info.py,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E:\Source code on python\Science & Engineering\numpy\numpy-1.4.1\numpy\fft\tests\test_fftpack.py,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E:\Source code on python\Science & Engineering\numpy\numpy-1.4.1\numpy\doc\basics.py,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E:\Source code on python\Science & Engineering\numpy\numpy-1.4.1\numpy\doc\creation.py,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E:\Source code on python\Science & Engineering\numpy\numpy-1.4.1\numpy\doc\broadcasting.py,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E:\Source code on python\Science & Engineering\numpy\numpy-1.4.1\numpy\numarray\ma.py,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E:\Source code on python\Science & Engineering\numpy\numpy-1.4.1\numpy\matrixlib\tests\test_numeric.py,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E:\Source code on python\Science & Engineering\numpy\numpy-1.4.1\numpy\polynomial\__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E:\Source code on python\Science & Engineering\numpy\numpy-1.4.1\numpy\polynomial\tests\test_polynomial.py,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E:\Source code on python\Science & Engineering\numpy\numpy-1.4.1\numpy\f2py\cfuncs.py,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E:\Source code on python\Science & Engineering\numpy\numpy-1.4.1\numpy\fft\tests\test_helper.py,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E:\Source code on python\Science & Engineering\numpy\numpy-1.4.1\numpy\version.py,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E:\Source code on python\Science & Engineering\numpy\numpy-1.4.1\numpy\oldnumeric\typeconv.py,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E:\Source code on python\Science & Engineering\numpy\numpy-1.4.1\numpy\testing\setup.py,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E:\Source code on python\Science & Engineering\numpy\numpy-1.4.1\numpy\lib\tests\test_financial.py,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E:\Source code on python\Science & Engineering\numpy\numpy-1.4.1\numpy\distutils\tests\pyrex_ext\tests\test_primes.py,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E:\Source code on python\Science & Engineering\numpy\numpy-1.4.1\numpy\distutils\fcompiler\pg.py,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E:\Source code on python\Science & Engineering\numpy\numpy-1.4.1\numpy\fft\__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
