id	summary	status	owner	type	component	version
2858	[patch] Better default value for SERVER_EMAIL	closed	nobody	enhancement	Core (Other)	master
2856	Admin's Recent Actions will link to a 404 when an object has been deleted.	assigned	lpiatek	Bug	contrib.admin	master
2851	[patch] Turkish Translation	closed	hugo	enhancement	Translations	master
2848	[patch] CommentManager doctest is broken.	closed	adrian	defect	Contrib apps	master
2847	[patch] commetn doctest broken	closed	adrian	defect	Contrib apps	master
2844	[patch] make various field types pass member_name	closed	nobody	defect	Core (Other)	master
2842	AlwaysMatchesOtherField validator fails if other field not present	closed	nobody	defect	Validators	master
2841	Validator documentation is contradictory regarding required fields	closed	mtredinnick	defect	Validators	master
2839	"Filter translation ignores ""By"""	closed	nobody	defect	contrib.admin	master
2834	Indents in base.py comments breaks epydoc doc generation.	closed	adrian	defect	Core (Other)	master
2833	Request.context tries to access user when there's no session causing traceback	closed	nobody	defect	Core (Other)	master
2829	I can't clear what looks like a Model-level DB cache	closed	adrian	defect	"Database layer (models, ORM)"	master
2827	manage.py broken after svn update	closed	adrian	defect	Tools	master
2826	contrib.comments.views.comments.post_comment should check .is_authenticated() before trying to do a login.	closed	adrian	defect	Contrib apps	master
2825	Add ability to add extra test suites	closed	adrian	enhancement	Testing framework	master
2820	selected_related not pulling from GenericRelation's	closed	adrian	enhancement	Core (Other)	master
2818	"[newforms-admin] Admin searches should use distinct, if query involves joins"	closed	adrian	enhancement	contrib.admin	master
2817	[patch] missing space in ADmin documentation for related fields	closed	adrian	defect	contrib.admin	master
2809	MS SQL Server: Problem with User's history in Admin interface	closed	nobody	defect	contrib.admin	master
2808	updated danish translation of django.po	closed	hugo	enhancement	Translations	master
2806	"Cookie system does not support ""port"""	closed	mtredinnick	defect	Contrib apps	master
2804	[patch] sitemaps.xml & friends not installed	closed	adrian	defect	Contrib apps	master
2798	[patch] make comments work on models with alphanummmeric PKs	closed	adrian	enhancement	Contrib apps	master
2790	[patch] Duplicate entry in AUTHORS file	closed	mtredinnick	task	Documentation	master
2784	extend URL resolver support for HTTP Methods	closed	adrian	enhancement	Core (Other)	master
